//0
//Oxygen, 1.045
//Nitrate, 1, 1, 0,0,
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		782.00	0	4.2900	0	34.4190	0	27.294	0	195.21	0	60.51	0		8	0.01	0	0.000142	0	2.03	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		780.10	0	4.2920	0	34.4190	0	27.293	0	195.42	0	60.58	0		8	0.02	0	0.000146	0	2.03	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		778.00	0	4.2950	0	34.4180	0	27.292	0	195.62	0	60.65	0		8	0.02	0	0.000142	0	2.06	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		776.00	0	4.3060	0	34.4180	0	27.291	0	195.62	0	60.66	0		8	0.02	0	0.000142	0	2.06	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		774.00	0	4.3190	0	34.4170	0	27.289	0	195.94	0	60.78	0		8	0.02	0	0.000143	0	2.05	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		772.00	0	4.3240	0	34.4160	0	27.288	0	196.04	0	60.82	0		8	0.01	0	0.000144	0	2.03	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		770.00	0	4.3280	0	34.4160	0	27.287	0	196.25	0	60.89	0		8	0.02	0	0.000145	0	2.04	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		768.00	0	4.3380	0	34.4150	0	27.285	0	196.36	0	60.94	0		8	0.02	0	0.000142	0	2.06	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		766.00	0	4.3470	0	34.4150	0	27.284	0	196.56	0	61.02	0		8	0.02	0	0.000144	0	2.02	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		764.00	0	4.3580	0	34.4140	0	27.282	0	196.77	0	61.10	0		8	0.02	0	0.000142	0	2.02	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		762.00	0	4.3700	0	34.4140	0	27.281	0	196.98	0	61.18	0		8	0.02	0	0.000141	0	1.99	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		760.00	0	4.3770	0	34.4130	0	27.279	0	197.09	0	61.22	0		8	0.02	0	0.000143	0	2.03	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		758.00	0	4.3910	0	34.4120	0	27.277	0	197.30	0	61.31	0		8	0.02	0	0.000142	0	2.01	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		756.00	0	4.4080	0	34.4120	0	27.275	0	197.51	0	61.40	0		8	0.02	0	0.000143	0	2.03	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		754.00	0	4.4170	0	34.4120	0	27.274	0	197.61	0	61.44	0		8	0.02	0	0.000144	0	2.02	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		752.00	0	4.4430	0	34.4130	0	27.272	0	197.71	0	61.51	0	32.80	0	0.02	0	0.000143	0	2.02	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		750.00	0	4.4600	0	34.4130	0	27.270	0	197.71	0	61.54	0		8	0.01	0	0.000148	0	2.01	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		748.00	0	4.4740	0	34.4140	0	27.270	0	197.71	0	61.56	0		8	0.02	0	0.000142	0	2.02	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		746.00	0	4.4960	0	34.4140	0	27.267	0	197.71	0	61.59	0		8	0.02	0	0.000147	0	2.04	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		744.00	0	4.5120	0	34.4160	0	27.267	0	197.61	0	61.59	0		8	0.02	0	0.000145	0	2.03	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		742.00	0	4.5490	0	34.4190	0	27.266	0	197.19	0	61.51	0		8	0.01	0	0.000142	0	2.02	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		740.00	0	4.5710	0	34.4190	0	27.263	0	196.88	0	61.45	0		8	0.02	0	0.000145	0	1.99	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		738.00	0	4.6000	0	34.4190	0	27.260	0	196.88	0	61.49	0		8	0.01	0	0.000142	0	2.04	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		736.00	0	4.6220	0	34.4190	0	27.257	0	196.98	0	61.56	0		8	0.02	0	0.000145	0	2.02	0
